micros,pressure,temperature
268408.00,1009.5100,21.89
269674.00,1009.9600,21.87
270930.00,1010.3100,21.90
272184.00,1010.7300,21.87
273444.00,1009.8300,21.90
274710.00,1009.5800,21.92
275974.00,1010.0600,21.87
277230.00,1009.7000,21.89
278494.00,1010.4100,21.95
279750.00,1009.8000,21.89
281006.00,1009.9300,21.85
282266.00,1010.2800,21.89
283522.00,1010.2200,21.85
284778.00,1009.7400,21.90
286036.00,1010.1200,21.90
287294.00,1009.7000,21.89
288556.00,1010.0900,21.89
289814.00,1009.7700,21.87
291076.00,1009.8000,21.83
292348.00,1010.0200,21.85
293606.00,1009.8300,21.85
294862.00,1009.8700,21.92
296118.00,1010.2500,21.87
297382.00,1010.0500,21.82
298638.00,1009.8000,21.89
299896.00,1009.8700,21.92
301156.00,1009.9000,21.89
302422.00,1010.0200,21.85
303678.00,1009.8300,21.90
304936.00,1010.0200,21.80
306196.00,1009.6400,21.85
307458.00,1010.0600,21.87
308714.00,1009.8000,21.89
309972.00,1010.0200,21.90
311230.00,1009.7000,21.83
312486.00,1009.9300,21.90
313742.00,1009.9600,21.92
315022.00,1009.8300,21.90
316278.00,1009.8700,21.92
317540.00,1009.6100,21.89
318796.00,1009.8900,21.83
320056.00,1009.7700,21.82
321310.00,1010.0600,21.92
322568.00,1010.0900,21.89
323824.00,1010.6000,21.90
325086.00,1009.7300,21.85
326342.00,1009.7400,21.90
327598.00,1009.9000,21.89
328854.00,1009.9600,21.87
330116.00,1009.7400,21.90
331384.00,1009.9300,21.90
332642.00,1009.8600,21.87
333900.00,1009.8300,21.90
335162.00,1009.7700,21.87
336418.00,1009.9600,21.87
337674.00,1009.7000,21.83
338934.00,1009.7700,21.87
340186.00,1010.0200,21.90
341438.00,1009.6400,21.90
342702.00,1009.8700,21.92
343956.00,1010.3800,21.89
345212.00,1009.8900,21.83
346466.00,1010.4400,21.87
347720.00,1009.4400,21.80
348980.00,1010.2800,21.94
350238.00,1009.8600,21.87
351496.00,1009.6400,21.85
352750.00,1009.8700,21.92
354022.00,1010.1200,21.95
355276.00,1009.9000,21.89
356534.00,1010.2500,21.87
357794.00,1010.1500,21.92
359070.00,1009.9000,21.89
360324.00,1009.6100,21.89
361586.00,1010.1200,21.90
362850.00,1009.7300,21.85
364110.00,1009.7000,21.83
365366.00,1009.9600,21.92
366626.00,1009.6700,21.87
367886.00,1009.8300,21.85
369144.00,1009.7400,21.90
370398.00,1010.0900,21.89
371654.00,1009.5400,21.90
372906.00,1010.3800,21.89
374158.00,1009.8600,21.87
375410.00,1009.9000,21.89
376670.00,1009.9900,21.89
377930.00,1010.1200,21.85
379190.00,1010.0900,21.94
380468.00,1010.0900,21.94
381734.00,1009.5800,21.87
382986.00,1009.6100,21.83
384270.00,1009.7000,21.89
385528.00,1010.1200,21.90
386792.00,1009.6100,21.89
388050.00,1009.6100,21.83
389310.00,1010.2500,21.97
390570.00,1010.0900,21.89
391838.00,1009.5100,21.89
393106.00,1009.8600,21.87
394366.00,1009.7700,21.82
395622.00,1009.7700,21.87
396878.00,1009.8600,21.87
398134.00,1009.7700,21.87
399386.00,1009.8600,21.87
400646.00,1009.9300,21.85
401902.00,1009.9900,21.94
403160.00,1009.8300,21.90
404416.00,1009.7700,21.92
405674.00,1010.2500,21.92
406928.00,1010.1200,21.90
408186.00,1009.9900,21.89
409442.00,1009.8300,21.85
410706.00,1009.3800,21.82
411978.00,1009.6700,21.87
413238.00,1010.0600,21.92
414502.00,1009.3800,21.87
415758.00,1009.6100,21.89
417026.00,1009.9900,21.89
418290.00,1009.7100,21.94
419550.00,1009.9600,21.92
420802.00,1009.9300,21.85
422062.00,1010.0200,21.90
423318.00,1010.0200,21.90
424574.00,1009.8300,21.85
425826.00,1009.8000,21.83
427086.00,1010.1200,21.90
428338.00,1009.8300,21.90
429598.00,1009.5800,21.87
430854.00,1009.6700,21.87
432110.00,1009.9600,21.87
433368.00,1009.7700,21.87
434630.00,1009.9300,21.90
435878.00,1010.3800,21.94
437156.00,1010.1500,21.92
438418.00,1010.0900,21.83
439672.00,1009.5400,21.85
440928.00,1009.9600,21.92
442186.00,1009.5400,21.90
443440.00,1009.7400,21.90
444698.00,1009.7000,21.83
445956.00,1009.7400,21.90
447210.00,1010.1200,21.90
448468.00,1010.0600,21.92
449726.00,1009.8600,21.87
450998.00,1009.8700,21.97
452254.00,1009.9000,21.89
453508.00,1009.9300,21.90
454780.00,1010.0200,21.90
456034.00,1009.8300,21.90
457290.00,1010.0200,21.90
458566.00,1010.2200,21.95
459830.00,1009.4800,21.92
461086.00,1010.3100,21.90
462340.00,1009.7700,21.92
463602.00,1009.7400,21.90
464854.00,1009.8700,21.92
466110.00,1009.8000,21.89
467362.00,1009.6100,21.89
468620.00,1009.7000,21.89
469874.00,1009.8300,21.90
471130.00,1009.7000,21.89
472390.00,1009.8700,21.92
473650.00,1009.8300,21.85
474906.00,1009.5800,21.87
476160.00,1010.0900,21.89
477418.00,1009.9000,21.94
478674.00,1009.7700,21.87
479932.00,1009.7000,21.89
481200.00,1009.7700,21.87
482462.00,1009.9000,21.89
483714.00,1010.3800,21.94
484974.00,1010.1500,21.92
486230.00,1009.9000,21.94
487490.00,1009.8700,21.97
488744.00,1009.5100,21.89
490000.00,1010.1200,21.90
491258.00,1010.0300,21.95
492518.00,1010.4400,21.92
493774.00,1009.9000,21.94
495030.00,1009.7700,21.92
496286.00,1009.8600,21.87
497542.00,1009.5400,21.85
498798.00,1010.1900,21.94
500054.00,1009.8000,21.89
