micros,pressure,temperature
123239.00,1010.1500,21.87
123821.00,1009.4800,21.87
124404.00,1009.7700,21.87
124985.00,1010.1500,21.87
125556.00,1009.9600,21.87
126127.00,1010.1500,21.87
126722.00,1009.7700,21.87
127314.00,1010.0600,21.87
127885.00,1009.6700,21.87
128462.00,1009.5800,21.87
129033.00,1010.2500,21.87
129617.00,1010.0600,21.87
130186.00,1010.0600,21.87
130764.00,1009.0900,21.87
131342.00,1010.0600,21.87
131911.00,1009.4800,21.87
132486.00,1010.1500,21.87
133054.00,1010.0600,21.87
133630.00,1009.7700,21.87
134199.00,1010.0600,21.87
134775.00,1010.6300,21.87
135345.00,1009.7700,21.87
135934.00,1009.9600,21.87
136511.00,1009.8600,21.87
137078.00,1009.9600,21.87
137648.00,1010.0600,21.87
138236.00,1009.9600,21.87
138814.00,1009.8600,21.87
139388.00,1010.0600,21.87
139963.00,1009.9600,21.87
140533.00,1009.5800,21.87
141106.00,1010.1500,21.87
141676.00,1009.4800,21.87
142251.00,1010.4400,21.87
142832.00,1009.9600,21.87
143402.00,1010.1500,21.87
143978.00,1009.8600,21.87
144547.00,1010.0600,21.87
145119.00,1010.0600,21.87
145690.00,1009.6700,21.87
146264.00,1009.8600,21.87
146837.00,1009.7700,21.87
147417.00,1009.9600,21.87
147989.00,1010.4400,21.87
148558.00,1009.8600,21.87
149135.00,1009.9600,21.87
149725.00,1009.9600,21.87
150297.00,1009.8600,21.87
150882.00,1009.9600,21.87
151460.00,1009.9600,21.87
152029.00,1009.8600,21.87
152604.00,1009.4800,21.87
153174.00,1009.6700,21.87
153751.00,1010.3400,21.87
154338.00,1010.0600,21.87
154916.00,1009.6700,21.87
155491.00,1009.8600,21.87
156058.00,1010.0600,21.87
156633.00,1009.8600,21.87
157202.00,1009.9600,21.87
157782.00,1009.7700,21.87
158355.00,1010.1500,21.87
158922.00,1009.3800,21.87
159518.00,1009.7700,21.87
160091.00,1009.8600,21.87
160661.00,1009.6700,21.87
161234.00,1009.7700,21.87
161813.00,1009.8600,21.87
162384.00,1009.8600,21.87
162956.00,1009.7700,21.87
163526.00,1010.0600,21.87
164104.00,1010.0600,21.87
164674.00,1010.2500,21.87
165249.00,1009.7700,21.87
165822.00,1009.7700,21.87
166401.00,1009.8600,21.87
166974.00,1010.3400,21.87
167546.00,1009.5800,21.87
168125.00,1010.0600,21.87
168696.00,1010.0600,21.87
169280.00,1009.6700,21.87
169854.00,1009.5800,21.87
170425.00,1010.1500,21.87
170992.00,1010.2500,21.87
171560.00,1009.7700,21.87
172127.00,1009.9600,21.87
172693.00,1009.7700,21.87
173262.00,1009.7700,21.87
173855.00,1010.0600,21.87
174435.00,1009.9600,21.87
175020.00,1009.7700,21.87
175597.00,1009.9600,21.87
176166.00,1009.9600,21.87
176750.00,1010.2500,21.87
177319.00,1010.1500,21.87
177903.00,1009.9600,21.87
178476.00,1009.7700,21.87
179044.00,1009.7700,21.87
179630.00,1010.0600,21.87
180205.00,1009.9600,21.87
180801.00,1010.4400,21.87
181389.00,1010.5400,21.87
181973.00,1009.9600,21.87
182549.00,1009.6700,21.87
183118.00,1009.8600,21.87
183707.00,1009.3800,21.87
184285.00,1010.0600,21.87
184868.00,1009.8600,21.87
185441.00,1009.9600,21.87
186021.00,1009.9600,21.87
186593.00,1009.6700,21.87
187170.00,1009.8600,21.87
187747.00,1009.9600,21.87
188315.00,1009.7700,21.87
188889.00,1009.9600,21.87
189460.00,1009.9600,21.87
190032.00,1009.7700,21.87
190601.00,1009.9600,21.87
191185.00,1009.8600,21.87
191759.00,1010.0600,21.87
192325.00,1010.0600,21.87
192917.00,1009.8600,21.87
193497.00,1009.3800,21.87
194067.00,1009.8600,21.87
194650.00,1009.6700,21.87
195219.00,1009.8600,21.87
195799.00,1010.0600,21.87
196383.00,1010.0600,21.87
196950.00,1010.0600,21.87
197526.00,1009.8600,21.87
198096.00,1009.6700,21.87
198673.00,1009.8600,21.87
199240.00,1009.5800,21.87
199818.00,1009.7700,21.87
200392.00,1009.9600,21.87
200972.00,1009.7700,21.87
201553.00,1009.9600,21.87
202125.00,1010.2500,21.87
202697.00,1009.8600,21.87
203280.00,1010.0600,21.87
203864.00,1010.0600,21.87
204437.00,1009.8600,21.87
205014.00,1010.0600,21.87
205585.00,1009.5800,21.87
206157.00,1009.7700,21.87
206727.00,1009.8600,21.87
207307.00,1009.9600,21.87
207877.00,1010.0600,21.87
208458.00,1009.9600,21.87
209032.00,1010.0600,21.87
209603.00,1009.7700,21.87
210175.00,1009.4800,21.87
210746.00,1009.7700,21.87
211317.00,1009.3800,21.87
211884.00,1010.1500,21.87
212461.00,1009.8600,21.87
213033.00,1009.9600,21.87
213603.00,1009.4800,21.87
214176.00,1009.5800,21.87
214764.00,1009.3800,21.87
215340.00,1009.6700,21.87
215912.00,1010.1500,21.87
216485.00,1009.4800,21.87
217054.00,1009.6700,21.87
217632.00,1009.7700,21.87
218198.00,1010.0600,21.87
218774.00,1010.3400,21.87
219343.00,1009.8600,21.87
219927.00,1010.1500,21.87
220505.00,1009.5800,21.87
221074.00,1009.9600,21.87
221651.00,1009.7700,21.87
222221.00,1009.9600,21.87
222797.00,1010.0600,21.87
223367.00,1010.0600,21.87
223946.00,1010.0600,21.87
224521.00,1009.3800,21.87
225090.00,1010.1500,21.87
225680.00,1009.4800,21.87
226262.00,1010.1500,21.87
226834.00,1009.4800,21.87
227423.00,1009.6700,21.87
227997.00,1010.1500,21.87
228568.00,1009.5800,21.87
229139.00,1009.6700,21.87
229711.00,1010.3400,21.87
230284.00,1010.0600,21.87
230854.00,1010.0600,21.87
231455.00,1010.1500,21.87
232023.00,1009.7700,21.87
232592.00,1010.1500,21.87
233160.00,1010.4400,21.87
233739.00,1009.6700,21.87
234306.00,1009.6700,21.87
234889.00,1009.4800,21.87
235463.00,1009.9600,21.87
236032.00,1009.7700,21.87
236618.00,1009.8600,21.87
237186.00,1009.9600,21.87
237773.00,1009.9600,21.87
238364.00,1009.6700,21.87
238938.00,1009.7700,21.87
239509.00,1010.0600,21.87
240107.00,1010.1500,21.87
240686.00,1010.0600,21.87
241269.00,1009.7700,21.87
241846.00,1009.7700,21.87
242414.00,1009.8600,21.87
242991.00,1009.7700,21.87
243564.00,1009.8600,21.87
244136.00,1009.7700,21.87
244706.00,1009.3800,21.87
245288.00,1009.9600,21.87
245859.00,1009.5800,21.87
246427.00,1009.8600,21.87
247050.00,1009.5800,21.87
247633.00,1009.7700,21.87
248207.00,1009.5800,21.87
248779.00,1009.6700,21.87
249360.00,1009.6700,21.87
249932.00,1010.2500,21.87
250509.00,1009.6700,21.87
251078.00,1009.6700,21.87
251654.00,1009.4800,21.87
252220.00,1009.7700,21.87
252802.00,1009.8600,21.87
253371.00,1009.9600,21.87
253951.00,1009.8600,21.87
254529.00,1009.6700,21.87
255101.00,1009.6700,21.87
255673.00,1009.4800,21.87
256241.00,1009.7700,21.87
256821.00,1009.9600,21.87
257398.00,1009.8600,21.87
257967.00,1009.9600,21.87
258551.00,1009.8600,21.87
259123.00,1009.8600,21.87
259692.00,1009.4800,21.87
260273.00,1009.6700,21.87
260848.00,1010.0600,21.87
261418.00,1009.4800,21.87
261995.00,1009.5800,21.87
262565.00,1009.4800,21.87
263139.00,1009.6700,21.87
263711.00,1009.8600,21.87
264284.00,1009.9600,21.87
264857.00,1009.9600,21.87
265431.00,1009.9600,21.87
266012.00,1010.1500,21.87
266584.00,1009.6700,21.87
267172.00,1009.5800,21.87
267746.00,1009.4800,21.87
268314.00,1009.9600,21.87
268898.00,1009.3800,21.87
269487.00,1009.8600,21.87
270063.00,1009.5800,21.87
270633.00,1009.8600,21.87
271202.00,1009.6700,21.87
271777.00,1009.9600,21.87
272343.00,1009.7700,21.87
272920.00,1009.5800,21.87
273503.00,1009.6700,21.87
274081.00,1009.4800,21.87
274655.00,1009.8600,21.87
275227.00,1009.8600,21.87
275803.00,1009.5800,21.87
276370.00,1010.1500,21.87
276946.00,1009.8600,21.87
277516.00,1009.5800,21.87
278092.00,1009.8600,21.87
278666.00,1010.1500,21.87
279234.00,1009.7700,21.87
279825.00,1009.3800,21.87
280400.00,1009.9600,21.87
280971.00,1009.8600,21.87
281546.00,1009.9600,21.87
282118.00,1009.7700,21.87
282695.00,1010.0600,21.87
283269.00,1009.5800,21.87
283839.00,1010.0600,21.87
284419.00,1009.4800,21.87
284990.00,1009.6700,21.87
285565.00,1009.5800,21.87
286133.00,1009.9600,21.87
286709.00,1009.7700,21.87
287279.00,1009.6700,21.87
287866.00,1009.8600,21.87
288435.00,1009.8600,21.87
289018.00,1009.5800,21.87
289586.00,1010.0600,21.87
290154.00,1009.7700,21.87
290725.00,1010.1500,21.87
291315.00,1009.8600,21.87
291888.00,1009.9600,21.87
292456.00,1010.0600,21.87
293036.00,1009.6700,21.87
293609.00,1009.7700,21.87
294189.00,1010.1500,21.87
294766.00,1009.6700,21.87
295334.00,1009.9600,21.87
295904.00,1009.7700,21.87
296489.00,1009.7700,21.87
297082.00,1009.8600,21.87
297672.00,1009.9600,21.87
298255.00,1009.9600,21.87
298841.00,1010.0600,21.87
299424.00,1009.9600,21.87
300002.00,1010.0600,21.87
300575.00,1010.0600,21.87
