micros,pressure,temperature
136445.00,1009.4200,22.04
137104.00,1009.7100,22.04
137747.00,1009.5200,22.04
138388.00,1009.7100,22.04
139021.00,1009.7100,22.04
139652.00,1009.6100,22.04
140292.00,1010.1900,22.04
140922.00,1009.7100,22.04
141557.00,1009.8000,22.04
142185.00,1009.4200,22.04
142819.00,1009.6100,22.04
143446.00,1009.7100,22.04
144080.00,1009.9000,22.04
144709.00,1009.5200,22.04
145345.00,1010.0000,22.04
145976.00,1010.0900,22.04
146609.00,1009.3200,22.04
147240.00,1009.7100,22.04
147874.00,1009.5200,22.04
148505.00,1009.6100,22.04
149137.00,1009.6100,22.04
149765.00,1009.3200,22.04
150404.00,1009.5200,22.04
151039.00,1009.6100,22.04
151671.00,1009.4200,22.04
152296.00,1009.6100,22.04
152926.00,1009.6100,22.04
153555.00,1010.0900,22.04
154183.00,1010.0000,22.04
154834.00,1009.6100,22.04
155476.00,1009.6100,22.04
156127.00,1009.3200,22.04
156756.00,1009.2300,22.04
157391.00,1009.6100,22.04
158020.00,1009.9000,22.04
158658.00,1009.6100,22.04
159286.00,1009.8000,22.04
159924.00,1009.6100,22.04
160555.00,1009.6100,22.04
161187.00,1009.4200,22.04
161817.00,1009.3200,22.04
162462.00,1009.5200,22.04
163099.00,1009.4200,22.04
163728.00,1009.3200,22.04
164380.00,1009.2300,22.04
165018.00,1009.6100,22.04
165651.00,1009.3200,22.04
166285.00,1009.9000,22.04
166917.00,1009.8000,22.04
167553.00,1009.4200,22.04
168182.00,1009.9000,22.04
168821.00,1009.5200,22.04
169450.00,1009.2300,22.04
170088.00,1009.4200,22.04
170719.00,1009.9000,22.04
171351.00,1009.0400,22.04
171981.00,1009.5200,22.04
172614.00,1009.4200,22.04
173243.00,1009.5200,22.04
173880.00,1009.6100,22.04
174526.00,1009.8000,22.04
175153.00,1009.9000,22.04
175810.00,1009.5200,22.04
176439.00,1009.4200,22.04
177077.00,1009.8000,22.04
177707.00,1009.6100,22.04
178340.00,1009.4200,22.04
178971.00,1009.8000,22.04
179605.00,1009.2300,22.04
180233.00,1009.5200,22.04
180870.00,1010.0000,22.04
181499.00,1009.8000,22.04
182137.00,1009.7100,22.04
182770.00,1009.1300,22.04
183404.00,1009.2300,22.04
184036.00,1009.5200,22.04
184670.00,1009.1300,22.04
185300.00,1009.5200,22.04
185940.00,1009.9000,22.04
186579.00,1009.8000,22.04
187211.00,1009.7100,22.04
187860.00,1009.7100,22.04
188493.00,1009.6100,22.04
189125.00,1009.6100,22.04
189760.00,1009.2300,22.04
190390.00,1009.6100,22.04
191028.00,1009.7100,22.04
191663.00,1009.2300,22.04
192309.00,1009.3200,22.04
192946.00,1009.7100,22.04
193580.00,1009.6100,22.04
194221.00,1009.4200,22.04
194867.00,1009.4200,22.04
195499.00,1009.2300,22.04
196132.00,1009.8000,22.04
196778.00,1009.4200,22.04
197413.00,1009.5200,22.04
198070.00,1009.7100,22.04
198718.00,1009.6100,22.04
199360.00,1009.2300,22.04
199991.00,1009.0400,22.04
200634.00,1009.9000,22.04
201270.00,1009.7100,22.04
201902.00,1009.4200,22.04
202537.00,1009.3200,22.04
203168.00,1009.6100,22.04
203804.00,1009.4200,22.04
204431.00,1009.4200,22.04
205069.00,1009.7100,22.04
205697.00,1009.6100,22.04
206332.00,1009.5200,22.04
206963.00,1009.3200,22.04
207602.00,1009.4200,22.04
208232.00,1009.2300,22.04
208869.00,1009.7100,22.04
209498.00,1009.4200,22.04
210139.00,1009.4200,22.04
210773.00,1009.3200,22.04
211402.00,1009.1300,22.04
212047.00,1009.8000,22.04
212678.00,1009.6100,22.04
213313.00,1009.3200,22.04
213946.00,1009.2300,22.04
214591.00,1009.3200,22.04
215224.00,1009.8000,22.04
215862.00,1009.6100,22.04
216493.00,1009.3200,22.04
217129.00,1009.7100,22.04
217761.00,1009.3200,22.04
218395.00,1009.2300,22.04
219026.00,1009.6100,22.04
219661.00,1009.1300,22.04
220291.00,1009.6100,22.04
220926.00,1009.3200,22.04
221554.00,1009.5200,22.04
222197.00,1009.6100,22.04
222832.00,1009.3200,22.04
223461.00,1009.4200,22.04
224109.00,1009.6100,22.04
224749.00,1009.7100,22.04
225383.00,1009.6100,22.04
226025.00,1009.7100,22.04
226664.00,1009.3200,22.04
227298.00,1009.6100,22.04
227932.00,1009.5200,22.04
228569.00,1009.5200,22.04
229211.00,1009.1300,22.04
229846.00,1009.0400,22.04
230481.00,1009.5200,22.04
231122.00,1009.0400,22.04
231761.00,1009.3200,22.04
232395.00,1009.5200,22.04
233034.00,1009.3200,22.04
233673.00,1009.0400,22.04
234316.00,1009.4200,22.04
234947.00,1009.4200,22.04
235577.00,1009.2300,22.04
236227.00,1009.7100,22.04
236867.00,1009.6100,22.04
237497.00,1009.3200,22.04
238132.00,1009.6100,22.04
238764.00,1008.9400,22.04
239398.00,1009.4200,22.04
240027.00,1009.5200,22.04
240665.00,1009.5200,22.04
241295.00,1009.6100,22.04
241929.00,1009.4200,22.04
242555.00,1009.3200,22.04
243188.00,1009.7100,22.04
243817.00,1009.3200,22.04
244451.00,1009.6100,22.04
245082.00,1009.5200,22.04
245718.00,1009.5200,22.04
246348.00,1009.3200,22.04
246987.00,1009.4200,22.04
247628.00,1009.2300,22.04
248255.00,1009.4200,22.04
248899.00,1009.4200,22.04
249536.00,1009.8000,22.04
250176.00,1009.5200,22.04
250814.00,1009.3200,22.04
251452.00,1009.5200,22.04
252087.00,1009.9000,22.04
252732.00,1009.7100,22.04
253364.00,1009.6100,22.04
254005.00,1009.4200,22.04
254653.00,1009.7100,22.04
255297.00,1010.0000,22.04
255933.00,1009.2300,22.04
256565.00,1009.1300,22.04
257194.00,1009.7100,22.04
257835.00,1009.9000,22.04
258476.00,1009.4200,22.04
259133.00,1009.7100,22.04
259768.00,1009.6100,22.04
260418.00,1009.6100,22.04
261052.00,1009.9000,22.04
261706.00,1009.5200,22.04
262348.00,1009.4200,22.04
262985.00,1009.7100,22.04
263613.00,1009.6100,22.04
264262.00,1009.7100,22.04
264906.00,1009.4200,22.04
265542.00,1009.5200,22.04
266172.00,1009.4200,22.04
266809.00,1009.4200,22.04
267444.00,1009.5200,22.04
268079.00,1009.4200,22.04
268712.00,1009.5200,22.04
269350.00,1009.3200,22.04
269987.00,1009.5200,22.04
270627.00,1009.2300,22.04
271263.00,1009.5200,22.04
271893.00,1009.5200,22.04
272529.00,1009.6100,22.04
273165.00,1009.8000,22.04
273803.00,1009.3200,22.04
274432.00,1009.7100,22.04
275067.00,1009.6100,22.04
275696.00,1009.5200,22.04
276329.00,1009.5200,22.04
276959.00,1009.5200,22.04
277593.00,1009.1300,22.04
278225.00,1009.4200,22.04
278862.00,1009.3200,22.04
279491.00,1009.3200,22.04
280125.00,1009.3200,22.04
280757.00,1009.5200,22.04
281389.00,1009.2300,22.04
282017.00,1009.5200,22.04
282656.00,1009.4200,22.04
283305.00,1009.1300,22.04
283936.00,1009.4200,22.04
284592.00,1009.4200,22.04
285231.00,1009.6100,22.04
285866.00,1009.4200,22.04
286497.00,1009.2300,22.04
287132.00,1009.4200,22.04
287773.00,1009.7100,22.04
288409.00,1009.7100,22.04
289044.00,1009.5200,22.04
289692.00,1009.7100,22.04
290327.00,1009.3200,22.04
290967.00,1009.8000,22.04
291602.00,1009.8000,22.04
292245.00,1009.4200,22.04
292879.00,1008.9400,22.04
293517.00,1009.6100,22.04
294153.00,1009.4200,22.04
294798.00,1009.3200,22.04
295428.00,1009.1300,22.04
296058.00,1009.4200,22.04
296727.00,1009.1300,22.04
297367.00,1009.7100,22.04
297998.00,1009.7100,22.04
298631.00,1009.2300,22.04
299261.00,1008.8400,22.04
299894.00,1009.4200,22.04
300523.00,1009.5200,22.04
301157.00,1009.1300,22.04
301789.00,1009.5200,22.04
302421.00,1009.5200,22.04
303052.00,1009.4200,22.04
303697.00,1009.9000,22.04
304330.00,1009.5200,22.04
304965.00,1009.6100,22.04
305603.00,1009.5200,22.04
306241.00,1009.2300,22.04
306890.00,1009.2300,22.04
307525.00,1009.4200,22.04
308157.00,1009.4200,22.04
308811.00,1009.5200,22.04
309448.00,1009.6100,22.04
310078.00,1009.4200,22.04
310725.00,1008.9400,22.04
311355.00,1009.6100,22.04
311991.00,1009.4200,22.04
312617.00,1009.8000,22.04
313256.00,1009.7100,22.04
313887.00,1009.5200,22.04
314520.00,1009.3200,22.04
315150.00,1009.7100,22.04
315786.00,1009.6100,22.04
316413.00,1009.9000,22.04
317049.00,1009.7100,22.04
317678.00,1009.6100,22.04
318315.00,1009.7100,22.04
318947.00,1009.5200,22.04
319585.00,1009.4200,22.04
320218.00,1009.5200,22.04
320847.00,1009.5200,22.04
321493.00,1009.2300,22.04
322126.00,1009.6100,22.04
322756.00,1009.5200,22.04
323397.00,1009.4200,22.04
324030.00,1009.3200,22.04
324678.00,1009.6100,22.04
325313.00,1009.6100,22.04
325945.00,1009.3200,22.04
326591.00,1009.5200,22.04
327244.00,1008.8400,22.04
327890.00,1009.2300,22.04
328530.00,1009.1300,22.04
329169.00,1009.6100,22.04
329799.00,1009.7100,22.04
330435.00,1009.5200,22.04
331067.00,1009.5200,22.04
331709.00,1009.5200,22.04
332341.00,1009.3200,22.04
332972.00,1009.4200,22.04
333622.00,1009.5200,22.04
334262.00,1009.3200,22.04
334892.00,1009.7100,22.04
335523.00,1009.2300,22.04
336155.00,1010.0000,22.04
336791.00,1009.3200,22.04
337423.00,1008.9400,22.04
338063.00,1009.3200,22.04
338696.00,1009.3200,22.04
339334.00,1009.5200,22.04
339976.00,1009.6100,22.04
340608.00,1009.5200,22.04
341245.00,1009.5200,22.04
341883.00,1009.4200,22.04
342518.00,1009.5200,22.04
343161.00,1009.5200,22.04
343796.00,1009.7100,22.04
344424.00,1009.5200,22.04
345067.00,1009.1300,22.04
345696.00,1009.2300,22.04
346333.00,1009.3200,22.04
346963.00,1009.6100,22.04
347597.00,1009.4200,22.04
348228.00,1009.6100,22.04
348862.00,1009.4200,22.04
349493.00,1009.5200,22.04
